"","politician","wiki_name","birthday","death_date","age","bio","military_service","personal_details"
"1065","Walter E. Powell","Walter E. Powell","1931-04-25"," 2020-01-17",NA,"Walter E. PowellMember of the U.S. House of Representativesfrom Ohio's 8th districtIn officeJanuary 3, 1973<U+00A0><U+0096> January 3, 1975Preceded byJackson Edward BettsSucceeded byTom KindnessMember of the U.S. House of Representativesfrom Ohio's 24th districtIn officeJanuary 3, 1971<U+00A0><U+0096> January 3, 1973Preceded byBuz LukensSucceeded byDistrict EliminatedMember of the Ohio Senatefrom the 4th districtIn officeJanuary 3, 1967<U+00A0><U+0096> January 3, 1971Preceded byInaugural holderSucceeded byBuz Lukens",0,"Born(1931-04-25)April 25, 1931Hamilton, Ohio, U.S.DiedJanuary 17, 2020(2020-01-17) (aged<U+00A0>88)Hamilton, Ohio, U.S.Political partyRepublicanAlma materMiami UniversityHeidelberg University (Ohio)University of CincinnatiOccupationEducator, lawyer"
"1066","Tennyson Guyer","Tennyson Guyer","1912-11-29"," 1981-04-12",NA,"Tennyson GuyerMember of the U.S. House of Representativesfrom Ohio's 4th districtIn officeJanuary 3, 1973<U+00A0><U+0096> April 12, 1981Preceded byWilliam M. McCullochSucceeded byMike OxleyMember of the Ohio Senatefrom the 2nd districtIn officeJanuary 3, 1967<U+00A0><U+0096> December 31, 1972Preceded byDistrict createdSucceeded byWalter White",0,"Born(1912-11-29)November 29, 1912Findlay, Ohio, U.S.DiedApril 12, 1981(1981-04-12) (aged<U+00A0>68)Alexandria, Virginia, U.S.Political partyRepublicanAlma materFindlay CollegeOccupationPublic Affairs director"
"1067","Ralph Regula","Ralph Regula","1924-12-03"," 2017-07-19",NA,"Ralph RegulaMember of the U.S. House of Representativesfrom Ohio's 16th districtIn officeJanuary 3, 1973<U+00A0><U+0096> January 3, 2009Preceded byFrank BowSucceeded byJohn BoccieriMember of the Ohio Senatefrom the 29th districtIn officeJanuary 3, 1967<U+00A0><U+0096> January 3, 1973Preceded byConstituency establishedSucceeded byRichard Reichel",1,"BornRalph Straus Regula(1924-12-03)December 3, 1924Beach City, Ohio, U.S.DiedJuly 19, 2017(2017-07-19) (aged<U+00A0>92)Bethlehem Township, Ohio, U.S.Political partyRepublicanSpouse(s)Mary RoguskyEducationUniversity of Mount Union (BA)William McKinley School of Law (LLB)Military serviceAllegiance<U+00A0>United StatesBranch/service<U+00A0>United States NavyYears<U+00A0>of service1944<U+0096>1946Battles/warsWorld War II"
"1068","Bill Gradison","Bill Gradison","1928-12-28",NA,NA,"Bill GradisonMember of the U.S. House of Representativesfrom Ohio's 2nd districtIn officeJanuary 3, 1983<U+00A0><U+0096> January 31, 1993Preceded byTom LukenSucceeded byRob PortmanMember of the U.S. House of Representativesfrom Ohio's 1st districtIn officeJanuary 3, 1975<U+00A0><U+0096> January 3, 1983Preceded byTom LukenSucceeded byTom Luken51st Mayor of Cincinnati, OhioIn office1971<U+0096>1971Preceded byEugene P. RuehlmannSucceeded byTom Luken",0,"BornWillis David Gradison, Jr. (1928-12-28) December 28, 1928 (age<U+00A0>91)Cincinnati, OhioPolitical partyRepublicanAlma materYale UniversityHarvard Business School"
"1069","Tom Kindness","Tom Kindness","1929-08-26"," 2004-01-08",NA,"Tom KindnessMember of the U.S. House of Representativesfrom Ohio's 8th districtIn officeJanuary 3, 1975<U+00A0><U+0096> January 3, 1987Preceded byWalter E. PowellSucceeded byBuz LukensMember of the Ohio House of Representativesfrom the 58th districtIn officeJanuary 3, 1971 <U+0096> December 31, 1974Preceded byThomas RentschlerSucceeded byMichael A. Fox",0,"BornThomas Norman Kindness(1929-08-26)August 26, 1929Knoxville, TennesseeDiedJanuary 8, 2004(2004-01-08) (aged<U+00A0>74)Devonshire, EnglandPolitical partyRepublicanAlma materUniversity of MarylandGeorge Washington University"
"1070","Ronald M. Mottl","Ronald M. Mottl","1934-02-06",NA,NA,"Ron MottlMember of the Ohio House of Representativesfrom the 20th districtIn officeJanuary 3, 1987 <U+0096> February 5, 1997Preceded byJune KreuzerSucceeded byRon Mottl Jr.Member of the U.S. House of Representativesfrom Ohio's 23rd districtIn officeJanuary 3, 1975<U+00A0><U+0096> January 3, 1983Preceded byWilliam Edwin Minshall, Jr.Succeeded byDistrict eliminatedMember of the Ohio Senatefrom the 24th districtIn officeJanuary 3, 1969 <U+0096> December 31, 1974Preceded byFrancis D. SullivanSucceeded byJerome StanoIn officeJanuary 3, 1967 <U+0096> December 31, 1968Preceded byAt-LargeSucceeded byGertrude PolcarMember of the Parma City Council[1]In office1960<U+00A0><U+0096> 1966[1]",1,"BornRonald Milton Mottl (1934-02-06) February 6, 1934 (age<U+00A0>85)Cleveland, Ohio, U.S.Political partyDemocraticSpouse(s)Debra[2]Children4[2]EducationUniversity of Notre Dame (B.S., J.D.)[1]Military serviceBranch/serviceUnited States Army[1]Years<U+00A0>of service1957[1]"
"1071","Tom Luken","Tom Luken","1925-07-09"," 2018-01-10",NA,"Tom LukenMember of the U.S. House of Representativesfrom Ohio's 1st districtIn officeMarch 5, 1974<U+00A0><U+0096> January 3, 1975Preceded byWilliam J. KeatingSucceeded byBill GradisonMember of the U.S. House of Representativesfrom Ohio's 2nd districtIn officeJanuary 3, 1977<U+00A0><U+0096> January 3, 1983Preceded byDonald D. ClancySucceeded byBill GradisonMember of the U.S. House of Representativesfrom Ohio's 1st districtIn officeJanuary 3, 1983<U+00A0><U+0096> January 3, 1991Preceded byBill GradisonSucceeded byCharlie LukenMayor of CincinnatiIn office1971<U+0096>1972Preceded byBill GradisonSucceeded byTed Berry",1,"BornThomas Andrew Luken(1925-07-09)July 9, 1925Cincinnati, OhioDiedJanuary 10, 2018(2018-01-10) (aged<U+00A0>92)Cincinnati, OhioPolitical partyDemocraticSpouse(s)Shirley Ann Ast (1947-2018; his death)ChildrenCharlie Luken, Mary Miller, Annie Hall (deceased), Timothy Luken, Margaret Sandman, Elisabeth Luken, Martha Luken, Matthew LukenAlma materBowling Green State UniversityXavier UniversitySalmon P. Chase College of LawMilitary serviceAllegianceUnited StatesBranch/serviceUnited States Marine CorpsBattles/warsWorld War II"
"1072","Donald J. Pease","Don Pease","harater0",NA,NA,"Don PeaseMember of the U.S. House of Representativesfrom Ohio's 13th districtIn officeJanuary 3, 1977<U+00A0><U+0096> January 3, 1993Preceded byCharles Adams MosherSucceeded bySherrod BrownMember of the Ohio Senatefrom the 13th districtIn officeJanuary 3, 1975-January 3, 1977Preceded byRobert J. CortsSucceeded byRonald NabowskiMember of the Ohio House of Representativesfrom the 54th districtIn officeJanuary 3, 1969-December 31, 1974Preceded byHenry SchriverSucceeded byScribner Fauver",0,"Political partyDemocratic"
"1073","Douglas Applegate","Douglas Applegate","1928-03-27",NA,NA,"Douglas ApplegateMember of the U.S. House of Representativesfrom Ohio's 18th districtIn officeJanuary 3, 1977<U+00A0><U+0096> January 3, 1995Preceded byWayne HaysSucceeded byBob NeyMember of the Ohio Senate from the 30th districtIn officeJanuary 3, 1969<U+00A0><U+0096> December 31, 1974Preceded byJohn LongsworthSucceeded byKinsey MillesonMember of the Ohio House of Representatives from the 33rd districtIn officeJanuary 3, 1961<U+00A0><U+0096> December 31, 1968Preceded byDistrict established'Succeeded byArthur Bowers",0,"BornEarl Douglas Applegate, Jr. (1928-03-27) March 27, 1928 (age<U+00A0>91)Steubenville, Ohio, U.S.Political partyDemocraticSpouse(s)Betty Applegate[1]Children2"
"1074","Mary Rose Oakar","Mary Rose Oakar","1940-03-05",NA,NA,"Mary OakarMember of the Ohio House of Representativesfrom the 13th districtIn officeJanuary 3, 2001<U+00A0><U+0096> December 31, 2002Preceded byBarbara PringleSucceeded byMike SkindellVice Chair of the House Democratic CaucusIn officeJanuary 3, 1985<U+00A0><U+0096> January 3, 1989LeaderTip O'NeillJim WrightPreceded byGeraldine Ferraro (Secretary)Succeeded bySteny HoyerMember of the U.S. House of Representativesfrom Ohio's 20th districtIn officeJanuary 3, 1977<U+00A0><U+0096> January 3, 1993Preceded byJames StantonSucceeded byConstituency abolished",0,"Born (1940-03-05) March 5, 1940 (age<U+00A0>79)Cleveland, Ohio, U.S.Political partyDemocraticEducationUrsuline College (BA)John Carroll University (MA)"
"1075","Tony P. Hall","Tony P. Hall","1942-01-16",NA,NA,"Tony P. Hall7th United States Ambassador to the United Nations Agencies for Food and AgricultureIn officeSeptember 12, 2002<U+00A0><U+0096> April 5, 2006PresidentGeorge W. BushPreceded byGeorge McGovernSucceeded byGaddi VasquezMember of the U.S. House of Representativesfrom Ohio's 3rd districtIn officeJanuary 3, 1979<U+00A0><U+0096> September 9, 2002Preceded byCharles W. Whalen Jr.Succeeded byMike TurnerMember of the Ohio Senatefrom the 6th districtIn officeJanuary 3, 1973<U+00A0><U+0096> January 1, 1979Preceded byDavid HolcombSucceeded byChuck CurranMember of the Ohio House of Representativesfrom the 87th districtIn officeJanuary 3, 1969<U+00A0><U+0096> December 31, 1972Preceded byRobert RodererSucceeded byPaul Leonard",0,"BornTony Patrick Hall (1942-01-16) January 16, 1942 (age<U+00A0>78)Dayton, OhioPolitical partyDemocratic"
"1076","Lyle Williams","Lyle Williams","1942-08-23"," 2008-11-07",NA,"Lyle WilliamsMember of the U.S. House of Representativesfrom Ohio's 19th districtIn officeJanuary 3, 1979<U+00A0><U+0096> January 3, 1983Preceded byCharles J. CarneySucceeded byEd FeighanMember of the U.S. House of Representativesfrom Ohio's 17th districtIn officeJanuary 3, 1983<U+00A0><U+0096> January 3, 1985Preceded byJean Spencer AshbrookSucceeded byJames Traficant",0,"Born(1942-08-23)August 23, 1942Philippi, West VirginiaDiedNovember 7, 2008(2008-11-07) (aged<U+00A0>66)Lordstown, OhioPolitical partyRepublicanSpouse(s)Nancie PetersonChildrenfour"
"1077","Bob McEwen","Bob McEwen","1950-01-12",NA,NA,"Bob McEwenMember of the U.S. House of Representativesfrom Ohio's 6th districtIn officeJanuary 3, 1981<U+00A0><U+0096> January 3, 1993Preceded byBill HarshaSucceeded byTed StricklandMember of the Ohio House of Representativesfrom the 77th districtIn officeJanuary 3, 1975<U+00A0><U+0096> December 31, 1980Preceded byJoseph HiestandSucceeded byJoe Haines",0,"Born (1950-01-12) January 12, 1950 (age<U+00A0>70)Hillsboro, Ohio, U.S.Political partyRepublicanSpouse(s)Elizabeth BoebingerEducationUniversity of Miami (BBA)"
"1078","Ed Weber","Ed Weber","1931-07-26",NA,NA,"Ed WeberMember of the U.S. House of Representativesfrom Ohio's 9th districtIn officeJanuary 3, 1981<U+00A0><U+0096> January 3, 1983Preceded byThomas L. AshleySucceeded byMarcy Kaptur",1,"BornEdward Ford Weber (1931-07-26) July 26, 1931 (age<U+00A0>88)Toledo, Ohio, U.S.Political partyRepublicanAlma materDenison UniversityHarvard Law SchoolMilitary serviceAllegianceUnited StatesBranch/serviceUnited States ArmyYears<U+00A0>of service1956<U+0096>1958"
"1079","Bob Shamansky","Bob Shamansky","1927-04-18"," 2011-08-11",NA,"Bob ShamanskyMember of the U.S. House of Representativesfrom Ohio's 12th districtIn officeJanuary 3, 1981<U+00A0><U+0096> January 3, 1983Preceded bySamuel L. DevineSucceeded byJohn Kasich",1,"BornRobert Norton Shamansky(1927-04-18)April 18, 1927Columbus, Ohio, U.S.DiedAugust 11, 2011(2011-08-11) (aged<U+00A0>84)Bexley, Ohio, U.S.Resting placeNew Agudas Achim Cemetery, ColumbusPolitical partyDemocraticAlma materOhio State UniversityHarvard Law SchoolMilitary serviceAllegianceUnited StatesBranch/serviceUnited States ArmyYears<U+00A0>of service1950-1952UnitCounterintelligence Corps"
"1080","Dennis E. Eckart","Dennis E. Eckart","1950-04-06",NA,NA,"Dennis EckartMember of the U.S. House of Representativesfrom Ohio's 11th districtIn officeJanuary 3, 1983<U+00A0><U+0096> January 3, 1993Preceded byJ. William StantonSucceeded byLouis StokesMember of the U.S. House of Representativesfrom Ohio's 22nd districtIn officeJanuary 3, 1981<U+00A0><U+0096> January 3, 1983Preceded byCharles A. VanikSucceeded byDistrict EliminatedMember of the Ohio House of Representativesfrom the 18th districtIn officeJanuary 3, 1975<U+00A0><U+0096> December 31, 1980Preceded byJohn McCormackSucceeded byRon Suster",0,"BornDennis Edward Eckart (1950-04-06) April 6, 1950 (age<U+00A0>69)Cleveland, Ohio, U.S.Political partyDemocraticEducationXavier University (B.A.)Cleveland-Marshall College of Law (L.L.B.)"
"1081","Jean Spencer Ashbrook","Jean Spencer Ashbrook","1934-09-21",NA,NA,"Jean AshbrookMember of the U.S. House of Representativesfrom Ohio's 17th districtIn officeJune 29, 1982<U+00A0><U+0096> January 3, 1983Preceded byJohn AshbrookSucceeded byLyle Williams",0,"BornEmily Jean Spencer (1934-09-21) September 21, 1934 (age<U+00A0>85)[1]Newark, Ohio, U.S.Political partyRepublicanSpouse(s)John Ashbrook (1974<U+0096>1982)EducationOhio State University, Columbus (BS)"
"1082","Mike Oxley","Mike Oxley","1944-02-11"," 2016-01-01",NA,"Mike OxleyChair of the House Financial Services CommitteeIn officeJanuary 3, 2001<U+00A0><U+0096> January 3, 2007SpeakerDennis HastertPreceded byJim LeachSucceeded byBarney FrankMember of the U.S. House of Representativesfrom Ohio's 4th districtIn officeJune 25, 1981<U+00A0><U+0096> January 3, 2007Preceded byTennyson GuyerSucceeded byJim JordanMember of the Ohio House of Representativesfrom the 82nd districtIn officeJanuary 3, 1973<U+00A0><U+0096> June 25, 1981Preceded byRobert D. SchuckSucceeded byCharlie Earl",0,"BornMichael Garver Oxley(1944-02-11)February 11, 1944Findlay, Ohio, U.S.DiedJanuary 1, 2016(2016-01-01) (aged<U+00A0>71)McLean, Virginia, U.S.Political partyRepublicanSpouse(s)Patricia Ann OxleyAlma materMiami University (B.A.)Ohio State University (J.D.)OccupationFBI Agent, lawyer"
"1083","Mike DeWine","Mike DeWine","1947-01-05",NA,NA,"Mike DeWine70th Governor of OhioIncumbentAssumed office January 14, 2019LieutenantJon HustedPreceded byJohn Kasich50th Attorney General of OhioIn officeJanuary 10, 2011<U+00A0><U+0096> January 14, 2019GovernorJohn KasichPreceded byRichard CordraySucceeded byDave YostUnited States Senatorfrom OhioIn officeJanuary 3, 1995<U+00A0><U+0096> January 3, 2007Preceded byHoward MetzenbaumSucceeded bySherrod Brown59th Lieutenant Governor of OhioIn officeJanuary 14, 1991<U+00A0><U+0096> November 12, 1994GovernorGeorge VoinovichPreceded byPaul LeonardSucceeded byNancy HollisterMember of the U.S. House of Representativesfrom Ohio's 7th districtIn officeJanuary 3, 1983<U+00A0><U+0096> January 3, 1991Preceded byBud BrownSucceeded byDave HobsonMember of the Ohio Senatefrom the 10th districtIn officeJanuary 2, 1981<U+00A0><U+0096> December 13, 1982Preceded byJohn MahoneySucceeded byDave HobsonProsecutor of Greene CountyIn office1977<U+0096>1981Preceded byNicholas Carrera[1]Succeeded byWilliam Schenck[2]",0,"BornRichard Michael DeWine (1947-01-05) January 5, 1947 (age<U+00A0>73)Yellow Springs, Ohio, U.S.Political partyRepublicanSpouse(s)Frances StruewingChildren8, including PatResidenceGovernor's MansionEducationMiami University (B.A.) Ohio Northern University (J.D.)"
"1084","Marcy Kaptur","Marcy Kaptur","1946-06-17",NA,NA,"Marcy KapturMember of the U.S. House of Representativesfrom Ohio's 9th districtIncumbentAssumed office January 3, 1983Preceded byEd Weber",0,"BornMarcia Carolyn Kaptur (1946-06-17) June 17, 1946 (age<U+00A0>73)Toledo, Ohio, U.S.Political partyDemocraticEducationUniversity of Wisconsin<U+0096>Madison (BA)University of Michigan (MUP)Massachusetts Institute of Technology"
"1085","John Kasich","John Kasich","1952-05-13",NA,NA,"John Kasich69th Governor of OhioIn officeJanuary 10, 2011<U+00A0><U+0096> January 14, 2019LieutenantMary TaylorPreceded byTed StricklandSucceeded byMike DeWineChair of the House Budget CommitteeIn officeJanuary 3, 1995<U+00A0><U+0096> January 3, 2001Preceded byMartin Olav SaboSucceeded byJim NussleMember of the U.S. House of Representativesfrom Ohio's 12th districtIn officeJanuary 3, 1983<U+00A0><U+0096> January 3, 2001Preceded byBob ShamanskySucceeded byPat TiberiMember of the Ohio Senatefrom the 15th districtIn officeJanuary 1, 1979<U+00A0><U+0096> January 1, 1983Preceded byRobert O'ShaughnessySucceeded byRichard Pfeiffer",0,"BornJohn Richard Kasich Jr. (1952-05-13) May 13, 1952 (age<U+00A0>67)McKees Rocks, Pennsylvania, U.S.Political partyRepublicanSpouse(s)Mary Lee Griffith (m.<U+00A0>1975<U+2060><U+0096><U+2060>1980)Karen Waldbillig (m.<U+00A0>1997)Children2EducationOhio State University (BA)Signature"
"1086","Ed Feighan","Ed Feighan","1947-10-22",NA,NA,"Ed FeighanMember of the U.S. House of Representativesfrom Ohio's 19th districtIn officeJanuary 3, 1983<U+00A0><U+0096> January 3, 1993Preceded byLyle WilliamsSucceeded byEric FingerhutMember of the Cuyahoga County Board of County CommissionersIn office1979<U+0096>1983Member of the Ohio House of Representativesfrom the 8th districtIn officeJanuary 3, 1973 <U+0096> December 31, 1978Preceded byJim FlannerySucceeded byBenny Bonanno",0,"BornEdward Farrell Feighan (1947-10-22) October 22, 1947 (age<U+00A0>72)Lakewood, Ohio, U.S.NationalityAmericanPolitical partyDemocraticSpouse(s)Nadine FeighanRelationsMichael A. Feighan (uncle)EducationLoyola University New Orleans (B.A.)Cleveland-Marshall College of Law  (J.D.)"
"1087","Thomas C. Sawyer","Thomas C. Sawyer","1945-08-15",NA,NA,"Thomas C. SawyerMember of the Ohio Senatefrom the 28th districtIn officeFebruary 20, 2007<U+00A0><U+0096> December 31, 2016Preceded byKimberly ZurzSucceeded byVernon SykesMember of the U.S. House of Representativesfrom Ohio's 14th districtIn officeJanuary 3, 1987 <U+0096> January 3, 2003Preceded byJohn F. SeiberlingSucceeded bySteve LaTourette58th Mayor of Akron, OhioIn officeJanuary 9, 1984<U+00A0><U+0096> December 30, 1986Preceded byRoy RaySucceeded byDon PlusquellicMember of the Ohio House of Representativesfrom the 44th districtIn officeJanuary 3, 1977 <U+0096> December 31, 1983Preceded byPaul WingardSucceeded byTom Watkins",0,"Born (1945-08-15) August 15, 1945 (age<U+00A0>74)Akron, Ohio, U.S.Political partyDemocraticSpouse(s)Joyce SawyerChildren1ResidenceAkron, Ohio, U.S.Alma materUniversity of Akron (B.A., M.A.)ProfessionEducator"
"1088","James Traficant","Jim Traficant","1941-05-08"," 2014-09-27",NA,"James TraficantMember of the U.S. House of Representativesfrom Ohio's 17th districtIn officeJanuary 3, 1985<U+00A0><U+0096> July 24, 2002Preceded byLyle WilliamsSucceeded byTim Ryan",0,"BornJames Anthony Traficant Jr.(1941-05-08)May 8, 1941Youngstown, OhioDiedSeptember 27, 2014(2014-09-27) (aged<U+00A0>73)Poland, OhioPolitical partyDemocratic (1981<U+0096>2002)Independent (2002<U+0096>2014)Spouse(s)Patricia ""Tish"" Choppa Traficant"
"1089","Paul Gillmor","Paul Gillmor","2007-09-05",NA,NA,"Paul GillmorMember of the U.S. House of Representativesfrom Ohio's 5th districtIn officeJanuary 3, 1989<U+00A0><U+0096> September 5, 2007Preceded byDel LattaSucceeded byBob LattaPresident of the Ohio SenateIn officeJanuary 3, 1985<U+00A0><U+0096> December 31, 1988Preceded byHarry MeshelSucceeded byStanley AronoffIn officeJanuary 3, 1981<U+00A0><U+0096> December 31, 1982Preceded byOliver OcasekSucceeded byHarry MeshelMember of the Ohio Senatefrom the 2nd districtIn officeJanuary 3, 1967<U+00A0><U+0096> December 31, 1988Preceded byInaugural holderSucceeded byBetty Montgomery",0,"BornFebruary 1, 1939Tiffin, Ohio, U.S.Diedc. September 5, 2007(2007-09-05) (aged<U+00A0>68)Arlington County, Virginia, U.S.Political partyRepublicanSpouse(s)Brenda Lee Luckey (died 1972) Karen Lako (m.<U+00A0>1983)Children5EducationOhio Wesleyan UniversityUniversity of Michigan Law SchoolProfessionAttorney"
"1090","Charlie Luken","Charlie Luken","1951-07-18",NA,NA,"Charles John Luken60th & 64th Mayor of CincinnatiIn officeJanuary 1, 1984<U+00A0><U+0096> January 2, 1991Preceded byArnold L. BortzSucceeded byDavid S. MannIn officeJanuary 1, 1999<U+00A0><U+0096> December 31, 2005Preceded byRoxanne QuallsSucceeded byMark MalloryMember of the U.S. House of Representativesfrom Ohio's 1st districtIn officeJanuary 3, 1991<U+00A0><U+0096> January 3, 1993Preceded byTom LukenSucceeded byDavid S. Mann",0,"Born (1951-07-18) July 18, 1951 (age<U+00A0>68)Cincinnati, OhioPolitical partyDemocraticAlma materUniversity of Notre DameUniversity of Cincinnati College of LawProfessionLawyer, Politician, Newscaster"
"1091","Dave Hobson","Dave Hobson","1936-10-17",NA,NA,"David HobsonMember of the U.S. House of Representativesfrom Ohio's 7th districtIn officeJanuary 3, 1991<U+00A0><U+0096> January 3, 2009[1]Preceded byMike DeWineSucceeded bySteve AustriaMember of the Ohio Senatefrom the 10th districtIn officeDecember 13, 1982 <U+0096> January 3, 1991Preceded byMike DeWineSucceeded byMerle G. Kearns",1,"Born (1936-10-17) October 17, 1936 (age<U+00A0>83)Cincinnati, Ohio, U.S.Political partyRepublicanSpouse(s)Carolyn Alexander HobsonResidenceSpringfield, OhioAlma materOhio Wesleyan University, Ohio State UniversityOccupationAttorneyMilitary serviceBranch/serviceUnited States Air National GuardYears<U+00A0>of service1958-1963RankAirman First ClassUnitOhio"
"1092","John Boehner","John Boehner","1949-11-17",NA,NA,"John Boehner53rd Speaker of the United States House of RepresentativesIn officeJanuary 5, 2011<U+00A0><U+0096> October 29, 2015Preceded byNancy PelosiSucceeded byPaul RyanHouse Minority LeaderIn officeJanuary 3, 2007<U+00A0><U+0096> January 3, 2011DeputyRoy BluntEric CantorPreceded byNancy PelosiSucceeded byNancy PelosiLeader of the House Republican ConferenceIn officeJanuary 3, 2007<U+00A0><U+0096> October 29, 2015Preceded byDennis HastertSucceeded byPaul RyanHouse Majority LeaderIn officeFebruary 2, 2006<U+00A0><U+0096> January 3, 2007SpeakerDennis HastertPreceded byRoy Blunt (Acting)Succeeded bySteny HoyerChair of the House Education CommitteeIn officeJanuary 3, 2001<U+00A0><U+0096> January 3, 2006Preceded byWilliam F. GoodlingSucceeded byHoward McKeonChair of the House Republican ConferenceIn officeJanuary 3, 1995<U+00A0><U+0096> January 3, 1999LeaderNewt GingrichPreceded byDick ArmeySucceeded byJ. C. WattsMember of the U.S. House of Representativesfrom Ohio's 8th districtIn officeJanuary 3, 1991<U+00A0><U+0096> October 31, 2015Preceded byBuz LukensSucceeded byWarren DavidsonMember of the Ohio House of Representativesfrom the 57th districtIn officeJanuary 3, 1985<U+00A0><U+0096> December 31, 1990Preceded byBill DonhamSucceeded byScott Nein",1,"BornJohn Andrew Boehner (1949-11-17) November 17, 1949 (age<U+00A0>70)Reading, Ohio, U.S.Political partyRepublicanSpouse(s)Deborah Gunlack (m.<U+00A0>1973)Children2EducationXavier University (BA)SignatureMilitary serviceAllegiance<U+00A0>United StatesBranch/service<U+00A0>United States NavyYears<U+00A0>of service1968 (8 weeks)"
"1093","Steve Chabot","Steve Chabot","1953-01-22",NA,NA,"Steve ChabotRanking Member of the House Small Business CommitteeIncumbentAssumed office January 3, 2019Preceded byNydia Vel<e1>zquezChair of the House Small Business CommitteeIn officeJanuary 3, 2015<U+00A0><U+0096> January 3, 2019Preceded bySam GravesSucceeded byNydia Vel<e1>zquezMember of the U.S. House of Representativesfrom Ohio's 1st districtIncumbentAssumed office January 3, 2011Preceded bySteve DriehausIn officeJanuary 3, 1995<U+00A0><U+0096> January 3, 2009Preceded byDavid S. MannSucceeded bySteve Driehaus",0,"BornSteven Joseph Chabot (1953-01-22) January 22, 1953 (age<U+00A0>67)Cincinnati, Ohio, U.S.Political partyRepublicanSpouse(s)Donna ChabotChildren2EducationCollege of William & Mary (BA)Northern Kentucky University (JD)"
"1094","Rob Portman","Robert J. Portman","1955-12-19",NA,NA,"Rob PortmanUnited States Senatorfrom OhioIncumbentAssumed office January 3, 2011Serving with Sherrod BrownPreceded byGeorge Voinovich35th Director of the Office of Management and BudgetIn officeMay 29, 2006<U+00A0><U+0096> June 19, 2007PresidentGeorge W. BushPreceded byJoshua BoltenSucceeded byJim Nussle14th United States Trade RepresentativeIn officeMay 17, 2005<U+00A0><U+0096> May 29, 2006PresidentGeorge W. BushPreceded byRobert ZoellickSucceeded bySusan SchwabMember of the U.S. House of Representativesfrom Ohio's 2nd districtIn officeMay 4, 1993<U+00A0><U+0096> May 17, 2005Preceded byBill GradisonSucceeded byJean Schmidt",0,"BornRobert Jones Portman (1955-12-19) December 19, 1955 (age<U+00A0>64)Cincinnati, Ohio, U.S.Political partyRepublicanSpouse(s)Jane Dudley (m.<U+00A0>1986)Children3ResidenceTerrace Park, OhioEducationDartmouth College (BA)University of Michigan (JD)Net worth$8.6 million (2018)[1]SignatureWebsiteSenate website"
"1095","Ted Strickland","Ted Strickland","1941-08-04",NA,NA,"Ted Strickland68th Governor of OhioIn officeJanuary 8, 2007<U+00A0><U+0096> January 10, 2011LieutenantLee FisherPreceded byBob TaftSucceeded byJohn KasichMember of the U.S. House of Representativesfrom Ohio's 6th districtIn officeJanuary 3, 1997<U+00A0><U+0096> January 3, 2007Preceded byFrank CremeansSucceeded byCharlie WilsonIn officeJanuary 3, 1993<U+00A0><U+0096> January 3, 1995Preceded byBob McEwenSucceeded byFrank Cremeans",0,"BornTheodore Strickland (1941-08-04) August 4, 1941 (age<U+00A0>78)Lucasville, Ohio, U.S.Political partyDemocraticSpouse(s)Frances SmithEducationAsbury University (BA)University of Kentucky (MA, PhD)Asbury Theological Seminary (MDiv)SignatureWebsiteCampaign website"
"1096","Dennis Kucinich","Dennis J. Kucinich","1946-10-08",NA,NA,"Dennis KucinichMember of the U.S. House of Representativesfrom Ohio's 10th districtIn officeJanuary 3, 1997<U+00A0><U+0096> January 3, 2013Preceded byMartin HokeSucceeded byMike TurnerMember of the Ohio Senatefrom the 23rd districtIn officeJanuary 3, 1995<U+00A0><U+0096> January 2, 1997Preceded byAnthony SinagraSucceeded byPatrick Sweeney53rd Mayor of ClevelandIn officeNovember 14, 1977<U+00A0><U+0096> November 6, 1979Preceded byRalph PerkSucceeded byGeorge VoinovichMember of the Cleveland City Council  from Ward 12[2]In officeAugust 9, 1983[1]<U+00A0><U+0096> December 31, 1985In officeJanuary 1, 1970<U+00A0><U+0096> December 31, 1973",0,"BornDennis John Kucinich (1946-10-08) October 8, 1946 (age<U+00A0>73)Cleveland, Ohio, U.S.Political partyDemocraticSpouse(s)Helen Kucinich (div.)Sandra Lee McCarthy(m.<U+00A0>1977; div.<U+00A0>1986)Elizabeth Harper (m.<U+00A0>2005)ChildrenJackieEducationCase Western Reserve University (BA, MA)"
